Horario,Lat,Lon,Rssi,Custo,Equipamento Melhor RSSI,Equipamento Melhor Custo
2023-11-22 10:01,-20.43605,-43.839998333333334,-68,0,UFR 08 - Pires TFI,Gateway
2023-11-22 10:01,-20.4483,-43.91851666666666,-65,0,CM-7929,Gateway
2023-11-22 10:01,-20.46332,-43.93243333333333,-57,0,UMR 13 - 15F Estrada,Gateway
2023-11-22 10:01,-20.443545,-43.923674999999996,-58,0,CM-7963,Gateway
2023-11-22 10:01,-20.476378333333333,-43.919925,-59,0,CM-7920,Gateway
2023-11-22 10:01,-20.475651666666664,-43.917055,-73,0,TP-8503,Gateway
2023-11-22 10:01,-20.474086666666665,-43.93893,-75,0,UMR 16 - Esmeril D,Gateway
2023-11-22 10:01,-20.466829999999998,-43.93085,-51,0,CM-7936,Gateway
2023-11-22 10:01,-20.460731666666668,-43.91365333333333,-56,0,UFR 04 - Vila 2,Gateway
2023-11-22 10:01,-20.47093333333333,-43.9108,-55,0,UMR 11 - Estrada abaixo 1080 ,Gateway
2023-11-22 10:01,-20.469401666666666,-43.91339333333333,-57,0,UFR 07 - Sump 1080,Gateway
2023-11-22 10:01,-20.472241666666665,-43.92474166666666,-53,0,TE-1117,Gateway
2023-11-22 10:01,-20.458804999999998,-43.919958333333334,-54,0,CM-7913,CM-7908
2023-11-22 10:01,-20.454045,-43.922401666666666,-63,0,UMR 23 - Trevo 18i | Bandeira,Gateway
