IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,73604,-77,172.23.66.67,UFR 03 - A38 Oficina LX5
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,53803,-93,172.23.67.241,Desconhecido
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,79447,-80,172.23.67.119,CM-7917
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,87575,-64,172.23.67.214,PM-9909
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,0,-102,0.0.0.0,Gateway
172.23.67.123,2023-11-21,09:16,LX5,-20.483011666666666,-43.91704333333333,36,79447,-84,172.23.67.119,CM-7917
172.23.67.123,2023-11-21,09:16,LX5,-20.483034999999997,-43.91702,36,79447,-80,172.23.67.119,CM-7917
172.23.67.123,2023-11-21,09:16,LX5,-20.483034999999997,-43.91702,36,87575,-70,172.23.67.214,PM-9909
172.23.67.123,2023-11-21,09:16,LX5,-20.483034999999997,-43.91702,36,53803,-92,172.23.67.241,Desconhecido
172.23.67.123,2023-11-21,09:16,LX5,-20.483034999999997,-43.91702,36,87575,-64,172.23.67.214,PM-9909
172.23.67.123,2023-11-21,09:16,LX5,-20.483034999999997,-43.91702,36,66083,-101,172.23.66.23,UMR 20 - PCOL  LINK
172.23.67.123,2023-11-21,09:17,LX5,-20.483144999999997,-43.91701166666667,36,79447,-79,172.23.67.119,CM-7917
172.23.67.123,2023-11-21,09:17,LX5,-20.483144999999997,-43.91701166666667,36,73604,-77,172.23.66.67,UFR 03 - A38 Oficina LX5
172.23.67.123,2023-11-21,09:17,LX5,-20.483144999999997,-43.91701166666667,36,87291,-99,172.23.66.241,UFR 05 Corpo Oeste B2
172.23.67.123,2023-11-21,09:17,LX5,-20.483144999999997,-43.91701166666667,36,79447,-85,172.23.67.119,CM-7917
