IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,87582,-74,172.23.67.118,CM-7916
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,47441,-71,172.23.67.238,TE-1117
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,42830,-89,172.23.67.117,CM-7915
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,87592,-76,172.23.67.114,CM-7912
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,72711,-78,172.23.66.61,UMR 34 - 4H Estacionamento
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,42497,-66,172.23.67.237,TE-1116
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,42825,-87,172.23.67.115,CM-7913
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,82150,-82,172.23.66.83,UMR 10 - 10N
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,77446,-80,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,46142,-73,172.23.67.138,CM-7934
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,46148,-59,172.23.67.122,CM-7920
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,83368,-83,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,77448,-86,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,85231,-86,172.23.66.16,UFR 06 - 13N
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,42826,-87,172.23.67.166,CM-7960
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,42821,-88,172.23.67.85,Desconhecido
172.23.66.13,2023-11-22,10:00,LX5,-20.476381666666665,-43.91992166666667,38,86038,-87,172.23.66.24,UMR 35 - Vila Sub Estacão 
