IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,68684,-64,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,42826,-80,172.23.67.166,CM-7960
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,66077,-61,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,68684,-65,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,66083,-72,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,0,-70,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,83364,-76,172.23.67.149,CM-7943
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,82150,-71,172.23.66.83,UMR 10 - 10N
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,73610,-81,172.23.66.76,UMR 18 - Patio de Sucata
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,82149,-79,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,77449,-79,172.23.67.132,CM-7929
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,0,-87,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,93564,-79,172.23.67.210,PM-9905
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,0,-106,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,77447,-107,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,0,-73,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,83364,-71,172.23.67.149,CM-7943
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,0,-104,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,66077,-57,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,66077,-93,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,87577,-102,172.23.67.161,CM-7955
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,83368,-77,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,0,-110,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,72710,-89,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,86033,-84,172.23.66.14,UMR 19 - ESC MINA
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,72465,-80,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,77447,-92,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,86033,-73,172.23.66.14,UMR 19 - ESC MINA
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,82149,-70,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,93564,-93,172.23.67.210,PM-9905
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,42826,-93,172.23.67.166,CM-7960
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,82150,-72,172.23.66.83,UMR 10 - 10N
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,90982,-94,172.23.67.92,PE-6211
172.23.66.27,2023-11-22,10:01,LX5,-20.47093333333333,-43.9108,46,68684,-65,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.27,2023-11-22,10:01,LX5,-20.470934999999997,-43.91078833333333,46,0,-97,0.0.0.0,Gateway
172.23.66.27,2023-11-22,10:01,LX5,-20.47093333333333,-43.9108,46,42826,-80,172.23.67.166,CM-7960
172.23.66.27,2023-11-22,10:01,LX5,-20.47093333333333,-43.9108,46,83368,-74,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.27,2023-11-22,10:01,LX5,-20.47093,-43.9108,46,82150,-84,172.23.66.83,UMR 10 - 10N
