IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,77447,-82,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,0,-86,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,87593,-73,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,72421,-89,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,77447,-84,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,72421,-65,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,68684,-69,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,86033,-100,172.23.66.14,UMR 19 - ESC MINA
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,83410,-100,172.23.67.206,CM-7966
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,82150,-82,172.23.66.83,UMR 10 - 10N
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,87591,-81,172.23.67.152,CM-7946
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,87593,-74,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,72465,-103,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,87591,-100,172.23.67.152,CM-7946
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,0,-77,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,42825,-77,172.23.67.115,CM-7913
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,0,-104,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,0,-108,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,0,-80,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,66083,-102,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,0,-75,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,66083,-90,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,77447,-105,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,0,-108,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,72465,-81,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,77447,-92,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,46148,-92,172.23.67.122,CM-7920
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,66083,-77,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,0,-98,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91340833333333,36,42949,-92,172.23.67.160,CM-7954
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,83410,-65,172.23.67.206,CM-7966
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,87593,-79,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,0,-98,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,42825,-94,172.23.67.115,CM-7913
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,77447,-83,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,46148,-92,172.23.67.122,CM-7920
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,0,-98,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,82150,-81,172.23.66.83,UMR 10 - 10N
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,66083,-77,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87593,-76,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469403333333332,-43.91339333333333,36,42949,-93,172.23.67.160,CM-7954
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-77,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-80,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,66083,-102,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,72421,-90,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,86033,-101,172.23.66.14,UMR 19 - ESC MINA
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,77447,-105,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,83410,-99,172.23.67.206,CM-7966
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,72465,-103,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87593,-99,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87591,-100,172.23.67.152,CM-7946
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-104,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-108,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,66083,-77,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,72421,-57,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87593,-79,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-98,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,42825,-94,172.23.67.115,CM-7913
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,46148,-92,172.23.67.122,CM-7920
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,0,-98,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,46149,-92,172.23.67.136,CM-7932
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87591,-94,172.23.67.152,CM-7946
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,42826,-96,172.23.67.166,CM-7960
172.23.66.31,2023-11-22,10:01,LX5,-20.469401666666666,-43.91339333333333,36,87577,-95,172.23.67.161,CM-7955
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,77447,-83,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,72421,-66,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,0,-77,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,0,-77,172.23.67.136,CM-7932
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,0,-85,0.0.0.0,Gateway
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,72465,-103,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,87593,-98,172.23.67.129,Desconhecido
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,66083,-77,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,72421,-57,172.23.66.27,UFR 07 - Sump 1080
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,72465,-74,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.31,2023-11-22,10:02,LX5,-20.46939833333333,-43.91339333333333,36,87591,-76,172.23.67.152,CM-7946
