IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.14,2023-11-22,10:00,LX5,-20.475638333333332,-43.91706666666666,42,85857,-84,172.23.66.220,RadioTabletmina
172.23.66.14,2023-11-22,10:00,LX5,-20.475648333333332,-43.91705833333333,42,85857,-84,172.23.66.220,RadioTabletmina
172.23.66.14,2023-11-22,10:00,LX5,-20.475648333333332,-43.91705833333333,42,87287,-96,172.23.66.46,UFR 04 - Vila 2
172.23.66.14,2023-11-22,10:00,LX5,-20.475648333333332,-43.91705833333333,42,0,-97,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,66077,-87,172.23.66.31,UMR 11 - Estrada abaixo 1080 
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,83368,-77,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,87593,-92,172.23.67.129,Desconhecido
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,0,-93,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,87577,-80,172.23.67.161,CM-7955
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,0,-102,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,46149,-90,172.23.67.136,CM-7932
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,72711,-83,172.23.66.61,UMR 34 - 4H Estacionamento
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,86037,-89,172.23.66.65,UMR 24 -15K | Acima Lavador de báscula
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,82149,-87,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,80109,-89,172.23.67.140,CM-7936
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,46141,-87,172.23.67.157,CM-7951
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,42830,-86,172.23.67.117,CM-7915
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,85857,-84,172.23.66.220,RadioTabletmina
172.23.66.14,2023-11-22,10:01,LX5,-20.475648333333332,-43.91705833333333,42,87375,-83,172.23.67.112,CM-7910
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,85231,-96,172.23.66.16,UFR 06 - 13N
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87374,-94,172.23.67.102,CM-7902
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87375,-92,172.23.67.112,CM-7910
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,77446,-75,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87593,-93,172.23.67.129,Desconhecido
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,82151,-84,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,82150,-83,172.23.66.83,UMR 10 - 10N
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,83364,-75,172.23.67.149,CM-7943
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87367,-81,172.23.67.127,CM-7925
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,82149,-87,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,72711,-84,172.23.66.61,UMR 34 - 4H Estacionamento
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,85231,-80,172.23.66.16,UFR 06 - 13N
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,0,-94,0.0.0.0,Gateway
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,77448,-88,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,77451,-85,172.23.66.19,UMR 41 - 17 L link
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,72710,-86,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87591,-83,172.23.67.152,CM-7946
172.23.66.14,2023-11-22,10:01,LX5,-20.475651666666664,-43.917055,42,87287,-87,172.23.66.46,UFR 04 - Vila 2
