IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87282,-79,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,83414,-89,172.23.67.203,CM-7963
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87581,-75,172.23.67.204,CM-7964
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,77448,-91,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,86032,-80,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,86038,-84,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,42948,-90,172.23.67.163,CM-7957
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87588,-89,172.23.67.144,Desconhecido
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,79394,-89,172.23.67.131,CM-7928
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,86032,-95,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87588,-102,172.23.67.144,Desconhecido
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87282,-80,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87587,-88,172.23.67.201,ES-5501
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87375,-101,172.23.67.112,CM-7910
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87282,-104,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87367,-102,172.23.67.127,CM-7925
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,77449,-97,172.23.67.132,CM-7929
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,77448,-91,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,77451,-93,172.23.66.19,UMR 41 - 17 L link
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87367,-89,172.23.67.127,CM-7925
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,86034,-63,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,42948,-91,172.23.67.163,CM-7957
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,42831,-77,172.23.67.105,CM-7902
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,72708,-82,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87283,-72,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,79394,-80,172.23.67.131,CM-7928
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87367,-89,172.23.67.127,CM-7925
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87283,-101,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,72710,-65,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87578,-94,172.23.67.159,CM-7953
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,85231,-101,172.23.66.16,UFR 06 - 13N
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,83365,-104,172.23.67.202,ES-5502
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,46339,-82,172.23.67.71,TP-8502
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87574,-86,172.23.67.126,CM-7924
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,77448,-83,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87581,-80,172.23.67.204,CM-7964
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,86034,-73,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87581,-76,172.23.67.204,CM-7964
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,83413,-73,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87283,-72,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87375,-85,172.23.67.112,CM-7910
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87283,-80,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,85231,-86,172.23.66.16,UFR 06 - 13N
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,77529,-94,172.23.67.101,CM-7901
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,0,-97,0.0.0.0,Gateway
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,86036,-87,172.23.66.66,UMR 29 - 23K Bandeira
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,68670,-77,172.23.67.93,Desconhecido
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,79394,-93,172.23.67.131,CM-7928
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,42830,-95,172.23.67.117,CM-7915
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87367,-94,172.23.67.127,CM-7925
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,46142,-88,172.23.67.138,CM-7934
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,72708,-89,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,0,-94,0.0.0.0,Gateway
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,83414,-90,172.23.67.203,CM-7963
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87574,-92,172.23.67.126,CM-7924
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,83413,-82,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,86034,-72,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87583,-96,172.23.67.146,CM-7940
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,87375,-94,172.23.67.112,CM-7910
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,86032,-82,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,72710,-90,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,42948,-96,172.23.67.163,CM-7957
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,46147,-95,172.23.67.134,Desconhecido
172.23.66.240,2023-11-22,10:01,LX5,-20.454041666666665,-43.922398333333334,35,77449,-79,172.23.67.132,CM-7929
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,77448,-91,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,82152,-94,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,72405,-91,172.23.66.30,UMR 39 - 18I / PCN 02
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87581,-76,172.23.67.204,CM-7964
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87283,-80,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,85231,-87,172.23.66.16,UFR 06 - 13N
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87287,-87,172.23.66.46,UFR 04 - Vila 2
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87282,-82,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,77529,-93,172.23.67.101,CM-7901
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,68670,-81,172.23.67.93,Desconhecido
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,42830,-94,172.23.67.117,CM-7915
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,87375,-93,172.23.67.112,CM-7910
172.23.66.240,2023-11-22,10:01,LX5,-20.45404333333333,-43.922401666666666,36,42948,-95,172.23.67.163,CM-7957
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,87282,-79,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,0,-91,0.0.0.0,Gateway
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,72710,-70,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,72708,-87,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,42830,-90,172.23.67.117,CM-7915
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,82152,-86,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,85231,-82,172.23.66.16,UFR 06 - 13N
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,87283,-74,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,82149,-93,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,42948,-91,172.23.67.163,CM-7957
172.23.66.240,2023-11-22,10:01,LX5,-20.454045,-43.922401666666666,36,77529,-93,172.23.67.101,CM-7901
