IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,83411,-86,172.23.67.205,CM-7965
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,77449,-85,172.23.67.132,CM-7929
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,53498,-86,172.23.67.90,Desconhecido
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,85231,-71,172.23.66.16,UFR 06 - 13N
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,77448,-82,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,80109,-85,172.23.67.140,CM-7936
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,72710,-75,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,66070,-80,172.23.66.21,UMR 37 - 18N PROX ES5502
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,0,-89,172.23.67.111,CM-7908
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,77451,-71,172.23.66.19,UMR 41 - 17 L link
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,82149,-73,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,79102,-85,172.23.67.106,CM-7904
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,86032,-89,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87587,-79,172.23.67.201,ES-5501
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87367,-88,172.23.67.127,CM-7925
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87578,-90,172.23.67.159,CM-7953
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,42830,-66,172.23.67.117,CM-7915
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,0,-92,0.0.0.0,Gateway
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,46142,-74,172.23.67.138,CM-7934
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,77529,-89,172.23.67.101,CM-7901
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,42825,-54,172.23.67.115,CM-7913
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,68670,-78,172.23.67.93,Desconhecido
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,0,-102,0.0.0.0,Gateway
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,46141,-86,172.23.67.157,CM-7951
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,0,-92,0.0.0.0,Gateway
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87584,-86,172.23.67.142,CM-7937
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87375,-86,172.23.67.112,CM-7910
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,66070,-96,172.23.66.21,UMR 37 - 18N PROX ES5502
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,87584,-96,172.23.67.142,CM-7937
172.23.66.65,2023-11-22,10:00,LX5,-20.45881,-43.919965,40,82149,-90,172.23.66.47,UMR 03 - Trailer telescopio  PCN
