IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,83365,-72,172.23.67.202,ES-5502
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,87282,-87,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,83365,-72,172.23.67.202,ES-5502
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87282,-87,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,85231,-85,172.23.66.16,UFR 06 - 13N
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,87584,-89,172.23.67.142,CM-7937
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,77449,-65,172.23.67.132,CM-7929
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,42831,-88,172.23.67.105,CM-7902
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,72405,-90,172.23.66.30,UMR 39 - 18I / PCN 02
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,86034,-76,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,42830,-71,172.23.67.117,CM-7915
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,83411,-74,172.23.67.205,CM-7965
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,83411,-99,172.23.67.205,CM-7965
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,87375,-89,172.23.67.112,CM-7910
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,83365,-97,172.23.67.202,ES-5502
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87282,-98,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,83413,-102,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,83411,-99,172.23.67.205,CM-7965
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87375,-88,172.23.67.112,CM-7910
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,83414,-86,172.23.67.203,CM-7963
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,82152,-98,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,0,-97,0.0.0.0,Gateway
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,72710,-81,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,86037,-96,172.23.66.65,UMR 24 -15K | Acima Lavador de báscula
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87287,-86,172.23.66.46,UFR 04 - Vila 2
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,42830,-87,172.23.67.117,CM-7915
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,87287,-87,172.23.66.46,UFR 04 - Vila 2
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,42830,-83,172.23.67.117,CM-7915
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,68670,-92,172.23.67.93,Desconhecido
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87282,-95,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,82152,-92,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,83365,-73,172.23.67.202,ES-5502
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,83365,-74,172.23.67.202,ES-5502
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,46141,-90,172.23.67.157,CM-7951
172.23.66.10,2023-11-22,10:01,LX5,-20.448291666666666,-43.918499999999995,36,87584,-96,172.23.67.142,CM-7937
172.23.66.10,2023-11-22,10:01,LX5,-20.4483,-43.91851666666666,36,87282,-87,172.23.66.50,UMR 04 - Trailer Telescopio Mascate
