IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,77452,-73,172.23.66.240,UMR 21 - 19
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,82151,-77,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,0,-93,0.0.0.0,Gateway
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,87581,-83,172.23.67.204,CM-7964
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,83414,-64,172.23.67.203,CM-7963
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,82152,-79,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,0,-83,172.23.67.111,CM-7908
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,87574,-74,172.23.67.126,CM-7924
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,83413,-92,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,83414,-105,172.23.67.203,CM-7963
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,86034,-103,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,87594,-103,172.23.67.128,CM-7926
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,86034,-68,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,83414,-58,172.23.67.203,CM-7963
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,0,-81,0.0.0.0,Gateway
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,0,-87,0.0.0.0,Gateway
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,0,-87,0.0.0.0,Gateway
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,85231,-92,172.23.66.16,UFR 06 - 13N
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,86038,-89,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,86034,-83,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923676666666665,35,77452,-73,172.23.66.240,UMR 21 - 19
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923676666666665,35,82151,-78,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,77452,-86,172.23.66.240,UMR 21 - 19
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923674999999996,35,87283,-91,172.23.66.45,UMR 22 - 20H LINK Alto
172.23.66.12,2023-11-22,10:01,LX5,-20.443546666666666,-43.923676666666665,35,42831,-83,172.23.67.105,CM-7902
