IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,72427,-90,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,85230,-100,172.23.66.199,UMR  -  Esmeril Fase 3 Alto
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,83369,-75,172.23.66.242,UMR 16 - Esmeril D
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,47514,-77,172.23.67.222,TE-1101
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,87590,-96,172.23.67.155,CM-7949
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,87574,-99,172.23.67.126,CM-7924
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,72427,-89,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,83369,-101,172.23.66.242,UMR 16 - Esmeril D
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,0,-97,0.0.0.0,Gateway
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,72457,-87,172.23.66.63,UMR 07  -  9F
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,85230,-103,172.23.66.199,UMR  -  Esmeril Fase 3 Alto
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,47442,-101,172.23.67.70,TP-8501
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,87573,-91,172.23.67.124,CM-7922
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,72457,-84,172.23.66.63,UMR 07  -  9F
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,72427,-89,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,87279,-91,172.23.67.150,CM-7944
172.23.66.17,2023-11-22,10:00,LX5,-20.474081666666667,-43.93893166666666,38,0,-96,0.0.0.0,Gateway
172.23.66.17,2023-11-22,10:00,LX5,-20.474083333333333,-43.938939999999995,38,72427,-90,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:00,LX5,-20.474083333333333,-43.938939999999995,38,47514,-77,172.23.67.222,TE-1101
172.23.66.17,2023-11-22,10:00,LX5,-20.474083333333333,-43.938939999999995,38,83369,-101,172.23.66.242,UMR 16 - Esmeril D
172.23.66.17,2023-11-22,10:01,LX5,-20.474083333333333,-43.938939999999995,38,87573,-98,172.23.67.124,CM-7922
172.23.66.17,2023-11-22,10:01,LX5,-20.474083333333333,-43.938939999999995,38,72427,-85,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:01,LX5,-20.474083333333333,-43.938939999999995,38,83369,-76,172.23.66.242,UMR 16 - Esmeril D
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,72427,-90,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,0,-94,0.0.0.0,Gateway
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,0,-97,0.0.0.0,Gateway
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,85230,-103,172.23.66.199,UMR  -  Esmeril Fase 3 Alto
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,72457,-91,172.23.66.63,UMR 07  -  9F
172.23.66.17,2023-11-22,10:01,LX5,-20.474086666666665,-43.93893,38,87370,-103,172.23.67.145,CM-7939
172.23.66.17,2023-11-22,10:02,LX5,-20.474096666666664,-43.93893333333333,38,72427,-90,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:02,LX5,-20.474096666666664,-43.93893333333333,38,83369,-83,172.23.66.242,UMR 16 - Esmeril D
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,72427,-90,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,0,-95,172.23.67.145,CM-7939
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,0,-97,0.0.0.0,Gateway
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,72427,-85,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,72427,-96,172.23.66.55,UMR 26- Rampa do Ceguinho
172.23.66.17,2023-11-22,10:02,LX5,-20.474089999999997,-43.93893333333333,38,87279,-99,172.23.67.150,CM-7944
