IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,93565,-62,172.23.66.13,UFR 02 - Britador
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87287,-76,172.23.66.46,UFR 04 - Vila 2
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,47441,-53,172.23.67.238,TE-1117
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,85231,-75,172.23.66.16,UFR 06 - 13N
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,86038,-77,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,72421,-70,172.23.66.27,UFR 07 - Sump 1080
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,42949,-73,172.23.67.160,CM-7954
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,42612,-77,172.23.67.84,MN-2408
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87367,-78,172.23.67.127,CM-7925
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,46149,-61,172.23.67.136,CM-7932
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,80109,-77,172.23.67.140,CM-7936
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,77447,-96,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,77446,-97,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87577,-91,172.23.67.161,CM-7955
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,0,-106,0.0.0.0,Gateway
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87374,-93,172.23.67.102,CM-7902
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,72421,-77,172.23.66.27,UFR 07 - Sump 1080
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,86038,-78,172.23.66.24,UMR 35 - Vila Sub Estacão 
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,77447,-82,172.23.66.33,UMR 32 - 8F Antigo Corpo Oeste
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,83364,-67,172.23.67.149,CM-7943
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,0,-75,172.23.67.114,CM-7912
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87374,-70,172.23.67.102,CM-7902
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87577,-79,172.23.67.161,CM-7955
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,87587,-88,172.23.67.201,ES-5501
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,93565,-80,172.23.66.13,UFR 02 - Britador
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,86033,-85,172.23.66.14,UMR 19 - ESC MINA
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,77446,-80,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.61,2023-11-22,10:00,LX5,-20.472246666666663,-43.92474,36,0,-95,0.0.0.0,Gateway
