IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87581,-70,172.23.67.204,CM-7964
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,86036,-77,172.23.66.66,UMR 29 - 23K Bandeira
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87591,-79,172.23.67.152,CM-7946
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83413,-74,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,86032,-80,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,79449,-79,172.23.67.154,CM-7948
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87578,-82,172.23.67.159,CM-7953
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,82149,-72,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87287,-56,172.23.66.46,UFR 04 - Vila 2
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87587,-70,172.23.67.201,ES-5501
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,42830,-76,172.23.67.117,CM-7915
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77451,-71,172.23.66.19,UMR 41 - 17 L link
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,46145,-80,172.23.67.130,CM-7927
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,82151,-77,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,72457,-78,172.23.66.63,UMR 07  -  9F
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,90982,-72,172.23.67.92,PE-6211
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,93565,-74,172.23.66.13,UFR 02 - Britador
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,82150,-77,172.23.66.83,UMR 10 - 10N
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,66083,-74,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83410,-78,172.23.67.206,CM-7966
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87594,-81,172.23.67.128,CM-7926
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,68671,-79,172.23.67.141,Desconhecido
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87593,-78,172.23.67.129,Desconhecido
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87277,-78,172.23.67.147,CM-7941
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83368,-75,172.23.66.244,UMR 15 - PCN1 TREVO PCOL
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-83,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,85231,-79,172.23.66.16,UFR 06 - 13N
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,79394,-76,172.23.67.131,CM-7928
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,46142,-63,172.23.67.138,CM-7934
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,72465,-79,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,79102,-78,172.23.67.106,CM-7904
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-82,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,80109,-76,172.23.67.140,CM-7936
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87589,-76,172.23.67.148,CM-7942
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87577,-79,172.23.67.161,CM-7955
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,72711,-78,172.23.66.61,UMR 34 - 4H Estacionamento
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-82,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77449,-76,172.23.67.132,CM-7929
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,68670,-74,172.23.67.93,Desconhecido
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,42826,-75,172.23.67.166,CM-7960
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83364,-77,172.23.67.149,CM-7943
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87584,-71,172.23.67.142,CM-7937
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-80,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87287,-80,172.23.66.46,UFR 04 - Vila 2
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77452,-101,172.23.66.240,UMR 21 - 19
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,93564,-103,172.23.67.210,PM-9905
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-105,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87584,-97,172.23.67.142,CM-7937
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87577,-102,172.23.67.161,CM-7955
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77449,-100,172.23.67.132,CM-7929
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83364,-103,172.23.67.149,CM-7943
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87375,-102,172.23.67.112,CM-7910
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87588,-102,172.23.67.144,Desconhecido
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-103,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87584,-75,172.23.67.142,CM-7937
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,82150,-75,172.23.66.83,UMR 10 - 10N
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,72465,-92,172.23.66.64,UMR 08 - 13T Baixo
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,85229,-73,172.23.66.243,UMR 06 - Substação 13H
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83410,-89,172.23.67.206,CM-7966
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,86034,-83,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,66083,-79,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77452,-84,172.23.66.240,UMR 21 - 19
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,73610,-81,172.23.66.76,UMR 18 - Patio de Sucata
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87593,-81,172.23.67.129,Desconhecido
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,83364,-76,172.23.67.149,CM-7943
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87577,-85,172.23.67.161,CM-7955
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,86036,-89,172.23.66.66,UMR 29 - 23K Bandeira
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-92,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87594,-90,172.23.67.128,CM-7926
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87279,-88,172.23.67.150,CM-7944
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77452,-93,172.23.66.240,UMR 21 - 19
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,42830,-91,172.23.67.117,CM-7915
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,86033,-92,172.23.66.14,UMR 19 - ESC MINA
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87589,-91,172.23.67.148,CM-7942
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,42826,-93,172.23.67.166,CM-7960
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,72708,-91,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,90982,-84,172.23.67.92,PE-6211
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,93564,-92,172.23.67.210,PM-9905
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,82151,-90,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,79394,-91,172.23.67.131,CM-7928
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87370,-94,172.23.67.145,CM-7939
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87375,-94,172.23.67.112,CM-7910
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87581,-86,172.23.67.204,CM-7964
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,77446,-93,172.23.66.41,UMR 14 - 4H Estrada sentido Batateiro
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,68684,-87,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,93565,-91,172.23.66.13,UFR 02 - Britador
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,0,-93,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87584,-81,172.23.67.142,CM-7937
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87277,-81,172.23.67.147,CM-7941
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,80109,-91,172.23.67.140,CM-7936
172.23.66.24,2023-11-22,10:00,LX5,-20.460729999999998,-43.91365833333333,35,87588,-94,172.23.67.144,Desconhecido
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87581,-71,172.23.67.204,CM-7964
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,86032,-80,172.23.66.10,UMR 27 - PCOL Banco acima
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,42612,-66,172.23.67.84,MN-2408
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,46148,-70,172.23.67.122,CM-7920
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87367,-79,172.23.67.127,CM-7925
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87280,-80,172.23.67.111,CM-7908
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,82151,-77,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,72457,-78,172.23.66.63,UMR 07  -  9F
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,66083,-73,172.23.66.23,UMR 20 - PCOL  LINK
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,68684,-76,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,0,-83,0.0.0.0,Gateway
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,46142,-61,172.23.67.138,CM-7934
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,0,-82,172.23.66.12,UMR 31- B2 Acima rampa do ceguinho
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,77449,-76,172.23.67.132,CM-7929
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,68670,-74,172.23.67.93,Desconhecido
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,42825,-70,172.23.67.115,CM-7913
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,0,-103,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87587,-100,172.23.67.201,ES-5501
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,77452,-101,172.23.66.240,UMR 21 - 19
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,77451,-100,172.23.66.19,UMR 41 - 17 L link
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87593,-105,172.23.67.129,Desconhecido
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,87581,-68,172.23.67.204,CM-7964
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,86036,-64,172.23.66.66,UMR 29 - 23K Bandeira
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,42612,-66,172.23.67.84,MN-2408
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,83364,-103,172.23.67.149,CM-7943
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87374,-102,172.23.67.102,CM-7902
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,77452,-67,172.23.66.240,UMR 21 - 19
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,86034,-71,172.23.66.32,UMR 23 - Trevo 18i | Bandeira
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,42949,-68,172.23.67.160,CM-7954
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,87280,-67,172.23.67.111,CM-7908
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87581,-84,172.23.67.204,CM-7964
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,77451,-70,172.23.66.19,UMR 41 - 17 L link
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87578,-87,172.23.67.159,CM-7953
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,87584,-76,172.23.67.142,CM-7937
172.23.66.24,2023-11-22,10:01,LX5,-20.460731666666668,-43.91365333333333,35,68684,-63,172.23.66.15,UMR 17 - 7K Prox. entrada da mina
172.23.66.24,2023-11-22,10:01,LX5,-20.460728333333332,-43.913665,35,77452,-84,172.23.66.240,UMR 21 - 19
