IP,Data,Hora,Radio,Lat,Lon,Temperatura,Custo,Rssi,Ipv4Address,Equipamento-Par
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87578,-73,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87578,-74,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,46143,-62,172.23.67.158,CM-7952
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87287,-80,172.23.66.46,UFR 04 - Vila 2
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,0,-86,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,0,-96,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,77529,-63,172.23.67.101,CM-7901
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,0,-90,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87573,-75,172.23.67.124,CM-7922
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,80109,-51,172.23.67.140,CM-7936
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,42949,-82,172.23.67.160,CM-7954
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87372,-102,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,82149,-103,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87279,-95,172.23.67.150,CM-7944
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87280,-97,172.23.67.111,CM-7908
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87279,-96,172.23.67.150,CM-7944
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,77448,-89,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,0,-92,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87279,-54,172.23.67.150,CM-7944
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,82149,-66,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87588,-84,172.23.67.144,Desconhecido
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87372,-75,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87578,-73,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87370,-62,172.23.67.145,CM-7939
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87578,-74,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,68470,-80,172.23.66.8,UMR 40 - PCOL
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87287,-87,172.23.66.46,UFR 04 - Vila 2
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,72710,-74,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87574,-86,172.23.67.126,CM-7924
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,82152,-88,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87589,-76,172.23.67.148,CM-7942
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87280,-66,172.23.67.111,CM-7908
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,87578,-83,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,42950,-62,172.23.67.156,CM-7950
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,0,-96,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,87578,-83,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,77449,-93,172.23.67.132,CM-7929
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87279,-55,172.23.67.150,CM-7944
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085166666666,35,46143,-80,172.23.67.158,CM-7952
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,79449,-72,172.23.67.154,CM-7948
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,42950,-59,172.23.67.156,CM-7950
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,46143,-80,172.23.67.158,CM-7952
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87372,-102,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87280,-92,172.23.67.111,CM-7908
172.23.66.20,2023-11-22,10:01,LX5,-20.466828333333332,-43.930856666666664,35,42949,-93,172.23.67.160,CM-7954
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,77449,-101,172.23.67.132,CM-7929
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,77448,-88,172.23.66.37,UMR 12 - 13T  LINK
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,68470,-76,172.23.66.8,UMR 40 - PCOL
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87287,-86,172.23.66.46,UFR 04 - Vila 2
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,72710,-70,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87279,-51,172.23.67.150,CM-7944
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87277,-82,172.23.67.147,CM-7941
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,85229,-84,172.23.66.243,UMR 06 - Substação 13H
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,82149,-65,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,82152,-81,172.23.66.49,UMR 09 - Engenho Subida
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,0,-92,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,73610,-82,172.23.66.76,UMR 18 - Patio de Sucata
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,82151,-69,172.23.66.226,UMR 13 - 15F Estrada
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,0,-91,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,0,-91,0.0.0.0,Gateway
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87578,-73,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87588,-84,172.23.67.144,Desconhecido
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87372,-74,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87578,-83,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,80109,-60,172.23.67.140,CM-7936
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,73610,-90,172.23.66.76,UMR 18 - Patio de Sucata
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87589,-79,172.23.67.148,CM-7942
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87372,-83,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,87370,-92,172.23.67.145,CM-7939
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,46145,-93,172.23.67.130,CM-7927
172.23.66.20,2023-11-22,10:01,LX5,-20.466829999999998,-43.93085,35,46143,-80,172.23.67.158,CM-7952
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87578,-74,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,72710,-74,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87280,-67,172.23.67.111,CM-7908
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,72457,-59,172.23.66.63,UMR 07  -  9F
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,42950,-62,172.23.67.156,CM-7950
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87370,-81,172.23.67.145,CM-7939
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,82149,-103,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87578,-105,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,72457,-84,172.23.66.63,UMR 07  -  9F
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87280,-92,172.23.67.111,CM-7908
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,68470,-76,172.23.66.8,UMR 40 - PCOL
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,83413,-90,172.23.66.239,UMR 38 - 18C Praça da ES-6004
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,68470,-79,172.23.66.8,UMR 40 - PCOL
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,77529,-81,172.23.67.101,CM-7901
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,82149,-78,172.23.66.47,UMR 03 - Trailer telescopio  PCN
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,85229,-89,172.23.66.243,UMR 06 - Substação 13H
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,72710,-76,172.23.66.9,UMR 01 - 22H ( Link )
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87589,-80,172.23.67.148,CM-7942
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87372,-82,172.23.67.108,CM-7906
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.93084333333333,35,87277,-89,172.23.67.147,CM-7941
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.930841666666666,35,87578,-74,172.23.67.159,CM-7953
172.23.66.20,2023-11-22,10:02,LX5,-20.466825,-43.930841666666666,35,72710,-74,172.23.66.9,UMR 01 - 22H ( Link )
