Horario,Lat,Lon,Rssi,Custo,Equipamento Melhor RSSI,Equipamento Melhor Custo
2023-11-22 10:02,-20.436040000000002,-43.83998666666667,-68,0,UFR 08 - Pires TFI,Gateway
2023-11-22 10:02,-20.448305,-43.91851166666667,-65,0,CM-7929,Gateway
2023-11-22 10:02,-20.463314999999998,-43.93244,-54,0,CM-7939,Gateway
2023-11-22 10:02,-20.443555,-43.923676666666665,-58,0,CM-7963,Gateway
2023-11-22 10:02,-20.476376666666663,-43.91992666666666,-59,0,CM-7920,Gateway
2023-11-22 10:02,-20.475649999999998,-43.917055,-65,0,UMR Guarita A40,Gateway
2023-11-22 10:02,-20.474089999999997,-43.93893333333333,-75,0,UMR 16 - Esmeril D,Gateway
2023-11-22 10:02,-20.466825,-43.930841666666666,-51,0,CM-7936,Gateway
2023-11-22 10:02,-20.460736666666666,-43.913666666666664,-56,0,UFR 04 - Vila 2,Gateway
2023-11-22 10:02,-20.470966666666666,-43.91077833333333,-55,0,UMR 11 - Estrada abaixo 1080 ,Gateway
2023-11-22 10:02,-20.469396666666665,-43.91339166666666,-57,0,UFR 07 - Sump 1080,Gateway
2023-11-22 10:02,-20.472246666666663,-43.92474,-53,0,TE-1117,Gateway
2023-11-22 10:02,-20.4588,-43.919954999999995,-54,0,CM-7913,CM-7908
2023-11-22 10:02,-20.454045,-43.92240333333333,-63,0,UMR 23 - Trevo 18i | Bandeira,Gateway
