data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87582,-74,172.23.66.13,172.23.67.118, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,47441,-71,172.23.66.13,172.23.67.238, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,42830,-89,172.23.66.13,172.23.67.117, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87592,-76,172.23.66.13,172.23.67.114, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,72711,-78,172.23.66.13,172.23.66.61, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,42497,-66,172.23.66.13,172.23.67.237, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,42825,-87,172.23.66.13,172.23.67.115, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,82150,-82,172.23.66.13,172.23.66.83, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,77446,-80,172.23.66.13,172.23.66.41, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,46142,-73,172.23.66.13,172.23.67.138, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,46148,-59,172.23.66.13,172.23.67.122, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,83368,-83,172.23.66.13,172.23.66.244, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,77448,-86,172.23.66.13,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,85231,-86,172.23.66.13,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,42826,-87,172.23.66.13,172.23.67.166, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,42821,-88,172.23.66.13,172.23.67.85, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,86038,-87,172.23.66.13,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87577,-81,172.23.66.13,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,0,-93,172.23.66.13,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,79102,-89,172.23.66.13,172.23.67.106, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,83413,-89,172.23.66.13,172.23.66.239, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,72710,-89,172.23.66.13,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87582,-92,172.23.66.13,172.23.67.118, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87592,-94,172.23.66.13,172.23.67.114, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,0,-100,172.23.66.13,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87577,-93,172.23.66.13,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,87374,-95,172.23.66.13,172.23.67.102, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,83364,-90,172.23.66.13,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,83368,-79,172.23.66.13,172.23.66.244, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,86033,-67,172.23.66.13,172.23.66.14, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.476381666666665,-43.91992166666667,100,LX5,53751,-70,172.23.66.13,172.23.67.231, , ,0,1,0,0,0,0,0,0,11.24.2, 
