data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,68684,-64,172.23.66.27,172.23.66.15, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,42826,-80,172.23.66.27,172.23.67.166, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,66077,-61,172.23.66.27,172.23.66.31, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,68684,-65,172.23.66.27,172.23.66.15, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,66083,-72,172.23.66.27,172.23.66.23, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,0,-70,172.23.66.27,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,83364,-76,172.23.66.27,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,82150,-71,172.23.66.27,172.23.66.83, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,73610,-81,172.23.66.27,172.23.66.76, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,82149,-79,172.23.66.27,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,77449,-79,172.23.66.27,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,0,-87,172.23.66.27,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,93564,-79,172.23.66.27,172.23.67.210, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,0,-106,172.23.66.27,172.23.66.64, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,77447,-107,172.23.66.27,172.23.66.33, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,0,-73,172.23.66.27,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,83364,-71,172.23.66.27,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,0,-104,172.23.66.27,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,66077,-57,172.23.66.27,172.23.66.31, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,66077,-93,172.23.66.27,172.23.66.31, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,87577,-102,172.23.66.27,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,83368,-77,172.23.66.27,172.23.66.244, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.47093,-43.9108,100,LX5,0,-110,172.23.66.27,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.470934999999997,-43.91078833333333,100,LX5,72710,-89,172.23.66.27,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
