data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,83411,-86,172.23.66.65,172.23.67.205, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,77449,-85,172.23.66.65,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,53498,-86,172.23.66.65,172.23.67.90, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,85231,-71,172.23.66.65,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,77448,-82,172.23.66.65,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,80109,-85,172.23.66.65,172.23.67.140, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,72710,-75,172.23.66.65,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,66070,-80,172.23.66.65,172.23.66.21, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,0,-89,172.23.66.65,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,77451,-71,172.23.66.65,172.23.66.19, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,82149,-73,172.23.66.65,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,79102,-85,172.23.66.65,172.23.67.106, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.45881,-43.919965,100,LX5,86032,-89,172.23.66.65,172.23.66.10, , ,0,1,0,0,0,0,0,0,11.24.2, 
