data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,83365,-72,172.23.66.10,172.23.67.202, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,87282,-87,172.23.66.10,172.23.66.50, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,83365,-72,172.23.66.10,172.23.67.202, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,87282,-87,172.23.66.10,172.23.66.50, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,85231,-85,172.23.66.10,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,87584,-89,172.23.66.10,172.23.67.142, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,77449,-65,172.23.66.10,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,42831,-88,172.23.66.10,172.23.67.105, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,72405,-90,172.23.66.10,172.23.66.30, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,86034,-76,172.23.66.10,172.23.66.32, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,42830,-71,172.23.66.10,172.23.67.117, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,83411,-74,172.23.66.10,172.23.67.205, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,83411,-99,172.23.66.10,172.23.67.205, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,87375,-89,172.23.66.10,172.23.67.112, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,83365,-97,172.23.66.10,172.23.67.202, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,87282,-98,172.23.66.10,172.23.66.50, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,83413,-102,172.23.66.10,172.23.66.239, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,83411,-99,172.23.66.10,172.23.67.205, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,87375,-88,172.23.66.10,172.23.67.112, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,83414,-86,172.23.66.10,172.23.67.203, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.4483,-43.91851666666666,100,LX5,82152,-98,172.23.66.10,172.23.66.49, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,0,-97,172.23.66.10,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,72710,-81,172.23.66.10,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.448291666666666,-43.918499999999995,100,LX5,86037,-96,172.23.66.10,172.23.66.65, , ,0,1,0,0,0,0,0,0,11.24.2, 
