data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,77452,-73,172.23.66.12,172.23.66.240, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,82151,-77,172.23.66.12,172.23.66.226, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,0,-93,172.23.66.12,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,87581,-83,172.23.66.12,172.23.67.204, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,83414,-64,172.23.66.12,172.23.67.203, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,82152,-79,172.23.66.12,172.23.66.49, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,0,-83,172.23.66.12,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,87574,-74,172.23.66.12,172.23.67.126, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,83413,-92,172.23.66.12,172.23.66.239, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,83414,-105,172.23.66.12,172.23.67.203, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,86034,-103,172.23.66.12,172.23.66.32, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,87594,-103,172.23.66.12,172.23.67.128, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,86034,-68,172.23.66.12,172.23.66.32, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.443546666666666,-43.923674999999996,100,LX5,83414,-58,172.23.66.12,172.23.67.203, , ,0,1,0,0,0,0,0,0,11.24.2, 
