data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,93565,-62,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87287,-76,172.23.66.61,172.23.66.46, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,47441,-53,172.23.66.61,172.23.67.238, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,85231,-75,172.23.66.61,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,86038,-77,172.23.66.61,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,72421,-70,172.23.66.61,172.23.66.27, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,42949,-73,172.23.66.61,172.23.67.160, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,42612,-77,172.23.66.61,172.23.67.84, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87367,-78,172.23.66.61,172.23.67.127, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,46149,-61,172.23.66.61,172.23.67.136, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,80109,-77,172.23.66.61,172.23.67.140, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,77447,-96,172.23.66.61,172.23.66.33, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,77446,-97,172.23.66.61,172.23.66.41, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87577,-91,172.23.66.61,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,0,-106,172.23.66.61,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87374,-93,172.23.66.61,172.23.67.102, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,72421,-77,172.23.66.61,172.23.66.27, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,86038,-78,172.23.66.61,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,77447,-82,172.23.66.61,172.23.66.33, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,83364,-67,172.23.66.61,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,0,-75,172.23.66.61,172.23.67.114, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87374,-70,172.23.66.61,172.23.67.102, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87577,-79,172.23.66.61,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87587,-88,172.23.66.61,172.23.67.201, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,93565,-80,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,86033,-85,172.23.66.61,172.23.66.14, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,77446,-80,172.23.66.61,172.23.66.41, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,0,-95,172.23.66.61,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,42826,-95,172.23.66.61,172.23.67.166, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,83364,-74,172.23.66.61,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,90982,-77,172.23.66.61,172.23.67.92, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,77449,-81,172.23.66.61,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,80109,-92,172.23.66.61,172.23.67.140, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,87375,-94,172.23.66.61,172.23.67.112, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,46148,-91,172.23.66.61,172.23.67.122, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:00,-20.472246666666663,-43.92474,100,LX5,46149,-81,172.23.66.61,172.23.67.136, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,93565,-62,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,68684,-74,172.23.66.61,172.23.66.15, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,87367,-74,172.23.66.61,172.23.67.127, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,46149,-60,172.23.66.61,172.23.67.136, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,46148,-73,172.23.66.61,172.23.67.122, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,86033,-103,172.23.66.61,172.23.66.14, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,93565,-67,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,53810,-81,172.23.66.61,172.23.67.229, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,86033,-75,172.23.66.61,172.23.66.14, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,87587,-75,172.23.66.61,172.23.67.201, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,85231,-76,172.23.66.61,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,0,-75,172.23.66.61,172.23.67.114, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,87374,-59,172.23.66.61,172.23.67.102, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,87587,-89,172.23.66.61,172.23.67.201, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,77447,-89,172.23.66.61,172.23.66.33, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,77448,-91,172.23.66.61,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,87374,-79,172.23.66.61,172.23.67.102, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,46142,-90,172.23.66.61,172.23.67.138, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474333333333,100,LX5,42825,-82,172.23.66.61,172.23.67.115, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,93565,-64,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,77446,-74,172.23.66.61,172.23.66.41, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,42826,-81,172.23.66.61,172.23.67.166, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,85231,-78,172.23.66.61,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,68684,-76,172.23.66.61,172.23.66.15, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,77447,-76,172.23.66.61,172.23.66.33, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,77448,-82,172.23.66.61,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,87577,-77,172.23.66.61,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,86038,-80,172.23.66.61,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,72421,-73,172.23.66.61,172.23.66.27, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,83364,-71,172.23.66.61,172.23.67.149, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,42949,-60,172.23.66.61,172.23.67.160, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,87587,-78,172.23.66.61,172.23.67.201, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,42612,-80,172.23.66.61,172.23.67.84, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,79102,-82,172.23.66.61,172.23.67.106, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,87367,-75,172.23.66.61,172.23.67.127, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,87592,-82,172.23.66.61,172.23.67.114, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,90982,-67,172.23.66.61,172.23.67.92, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,77446,-97,172.23.66.61,172.23.66.41, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,85231,-98,172.23.66.61,172.23.66.16, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,86033,-102,172.23.66.61,172.23.66.14, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,87577,-101,172.23.66.61,172.23.67.161, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,0,-101,172.23.66.61,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,93565,-65,172.23.66.61,172.23.66.13, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.472241666666665,-43.92474166666666,100,LX5,46339,-74,172.23.66.61,172.23.67.71, , ,0,1,0,0,0,0,0,0,11.24.2, 
