data,hora,lat,lon,alt,radio,custo,rssi,ipv4Address,ip,macsource,macdestination,action,enabled,rate,signal_ok,age,stats,encapId,txpower,version,linkLocalAddress
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87578,-73,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87578,-74,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,46143,-62,172.23.66.20,172.23.67.158, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87287,-80,172.23.66.20,172.23.66.46, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,0,-86,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,0,-96,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,77529,-63,172.23.66.20,172.23.67.101, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,0,-90,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87573,-75,172.23.66.20,172.23.67.124, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,80109,-51,172.23.66.20,172.23.67.140, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,42949,-82,172.23.66.20,172.23.67.160, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87372,-102,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,82149,-103,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87279,-95,172.23.66.20,172.23.67.150, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87280,-97,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87279,-96,172.23.66.20,172.23.67.150, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,77448,-89,172.23.66.20,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,0,-92,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87279,-54,172.23.66.20,172.23.67.150, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,82149,-66,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87588,-84,172.23.66.20,172.23.67.144, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87372,-75,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87578,-73,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87370,-62,172.23.66.20,172.23.67.145, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87578,-74,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,68470,-80,172.23.66.20,172.23.66.8, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87287,-87,172.23.66.20,172.23.66.46, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,72710,-74,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87574,-86,172.23.66.20,172.23.67.126, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,82152,-88,172.23.66.20,172.23.66.49, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87589,-76,172.23.66.20,172.23.67.148, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87280,-66,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,87578,-83,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,42950,-62,172.23.66.20,172.23.67.156, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,0,-96,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,87578,-83,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,77449,-93,172.23.66.20,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87279,-55,172.23.66.20,172.23.67.150, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085166666666,100,LX5,46143,-80,172.23.66.20,172.23.67.158, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,79449,-72,172.23.66.20,172.23.67.154, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,42950,-59,172.23.66.20,172.23.67.156, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,46143,-80,172.23.66.20,172.23.67.158, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87372,-102,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87280,-92,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466828333333332,-43.930856666666664,100,LX5,42949,-93,172.23.66.20,172.23.67.160, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,77449,-101,172.23.66.20,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,77448,-88,172.23.66.20,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,68470,-76,172.23.66.20,172.23.66.8, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87287,-86,172.23.66.20,172.23.66.46, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,72710,-70,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87279,-51,172.23.66.20,172.23.67.150, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87277,-82,172.23.66.20,172.23.67.147, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,85229,-84,172.23.66.20,172.23.66.243, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,82149,-65,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,82152,-81,172.23.66.20,172.23.66.49, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,0,-92,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,73610,-82,172.23.66.20,172.23.66.76, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,82151,-69,172.23.66.20,172.23.66.226, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,0,-91,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,0,-91,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87578,-73,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87588,-84,172.23.66.20,172.23.67.144, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87372,-74,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87578,-83,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,80109,-60,172.23.66.20,172.23.67.140, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,73610,-90,172.23.66.20,172.23.66.76, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87589,-79,172.23.66.20,172.23.67.148, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87372,-83,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,87370,-92,172.23.66.20,172.23.67.145, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,46145,-93,172.23.66.20,172.23.67.130, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:01,-20.466829999999998,-43.93085,100,LX5,46143,-80,172.23.66.20,172.23.67.158, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87578,-74,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,72710,-74,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87280,-67,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,72457,-59,172.23.66.20,172.23.66.63, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,42950,-62,172.23.66.20,172.23.67.156, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87370,-81,172.23.66.20,172.23.67.145, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,82149,-103,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87578,-105,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,72457,-84,172.23.66.20,172.23.66.63, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87280,-92,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,68470,-76,172.23.66.20,172.23.66.8, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,83413,-90,172.23.66.20,172.23.66.239, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,68470,-79,172.23.66.20,172.23.66.8, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,77529,-81,172.23.66.20,172.23.67.101, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,82149,-78,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,85229,-89,172.23.66.20,172.23.66.243, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,72710,-76,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87589,-80,172.23.66.20,172.23.67.148, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87372,-82,172.23.66.20,172.23.67.108, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.93084333333333,100,LX5,87277,-89,172.23.66.20,172.23.67.147, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87578,-74,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,72710,-74,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,86038,-84,172.23.66.20,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,82149,-76,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87280,-70,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,68470,-76,172.23.66.20,172.23.66.8, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,72457,-59,172.23.66.20,172.23.66.63, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,0,-97,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,0,-90,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,47483,-74,172.23.66.20,172.23.67.230, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87578,-105,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,72457,-84,172.23.66.20,172.23.66.63, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87589,-95,172.23.66.20,172.23.67.148, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,0,-105,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87588,-102,172.23.66.20,172.23.67.144, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,77449,-101,172.23.66.20,172.23.67.132, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,72457,-67,172.23.66.20,172.23.66.63, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,82149,-65,172.23.66.20,172.23.66.47, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,0,-92,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,0,-92,172.23.66.20,0.0.0.0, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87578,-73,172.23.66.20,172.23.67.159, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87588,-84,172.23.66.20,172.23.67.144, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,77529,-81,172.23.66.20,172.23.67.101, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,72710,-77,172.23.66.20,172.23.66.9, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,86038,-94,172.23.66.20,172.23.66.24, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,77448,-83,172.23.66.20,172.23.66.37, , ,0,1,0,0,0,0,0,0,11.24.2, 
2023-11-22,10:02,-20.466825,-43.930841666666666,100,LX5,87280,-78,172.23.66.20,172.23.67.111, , ,0,1,0,0,0,0,0,0,11.24.2, 
