172.23.72.144;2022-12-15 10:21:40.393912;-20.473322361;-43.924585192
172.23.72.144;2022-12-16 09:42:03.644840;Erro;Erro;
172.23.72.144;2022-12-16 09:42:43.486457;Erro;Erro;
172.23.72.144;2022-12-16 09:43:15.014295;Erro;Erro;
172.23.72.144;2022-12-16 09:43:33.752740;Erro;Erro;
172.23.72.144;2022-12-16 09:44:04.476233;Erro;Erro;
172.23.72.144;2022-12-16 09:44:41.385837;Erro;Erro;
172.23.72.144;2022-12-16 09:45:14.728712;Erro;Erro;
172.23.72.144;2022-12-16 09:45:57.157231;Erro;Erro;
172.23.72.144;2022-12-16 09:47:10.840535;Erro;Erro;
172.23.72.144;2022-12-16 09:47:17.827523;Erro;Erro;
172.23.72.144;2022-12-16 09:47:53.848554;Erro;Erro;
172.23.72.144;2022-12-16 09:50:10.081632;Erro;Erro;
172.23.72.144;2022-12-16 09:52:14.054340;Erro;Erro;
172.23.72.144;2022-12-16 09:52:23.979693;Erro;Erro;
172.23.72.144;2022-12-16 09:52:24.030905;Erro;Erro;
172.23.72.144;2022-12-16 09:52:24.878272;Erro;Erro;
172.23.72.144;2022-12-16 09:53:36.626585;Erro;Erro;
172.23.72.144;2022-12-16 09:54:13.674747;Erro;Erro;
172.23.72.144;2022-12-16 09:53:55.777004;Erro;Erro;
172.23.72.144;2022-12-16 09:56:57.741378;Erro;Erro;
172.23.72.144;2022-12-16 09:56:59.222127;Erro;Erro;
172.23.72.144;2022-12-16 09:57:01.925689;Erro;Erro;
172.23.72.144;2022-12-16 09:57:03.651995;Erro;Erro;
172.23.72.144;2022-12-16 09:57:23.196296;Erro;Erro;
172.23.72.144;2022-12-16 09:59:13.796071;Erro;Erro;
172.23.72.144;2022-12-16 09:59:19.928226;Erro;Erro;
172.23.72.144;2022-12-16 09:59:50.648120;Erro;Erro;
172.23.72.144;2022-12-16 10:00:21.368101;Erro;Erro;
172.23.72.144;2022-12-16 10:00:52.088122;Erro;Erro;
172.23.72.144;2022-12-16 10:01:20.760868;Erro;Erro;
172.23.72.144;2022-12-16 10:01:51.480099;Erro;Erro;
172.23.72.144;2022-12-16 10:02:22.200118;Erro;Erro;
172.23.72.144;2022-12-16 10:02:52.920165;Erro;Erro;
