172.23.72.224;2022-12-15 10:30:24.632124;Erro;Erro;
172.23.72.224;2022-12-16 09:42:03.642123;Erro;Erro;
172.23.72.224;2022-12-16 09:42:10.319283;-20.482751891;-43.916581257
172.23.72.224;2022-12-16 09:42:28.276744;-20.482748392;-43.916587963
172.23.72.224;2022-12-16 09:42:31.764920;-20.482749522;-43.916585807
172.23.72.224;2022-12-16 09:42:43.002242;Erro;Erro;
172.23.72.224;2022-12-16 09:43:03.426141;-20.482747285;-43.916584221
172.23.72.224;2022-12-16 09:43:12.824218;Erro;Erro;
172.23.72.224;2022-12-16 09:43:34.265541;-20.482761203;-43.916548576
172.23.72.224;2022-12-16 09:43:56.306269;-20.482755871;-43.916564482
172.23.72.224;2022-12-16 09:44:27.022615;-20.482752872;-43.916577855
172.23.72.224;2022-12-16 09:45:06.662047;-20.482752644;-43.916577127
172.23.72.224;2022-12-16 09:45:43.653324;-20.482737502;-43.916612358
172.23.72.224;2022-12-16 09:52:14.054341;Erro;Erro;
172.23.72.224;2022-12-16 09:52:21.395376;Erro;Erro;
172.23.72.224;2022-12-16 09:52:25.103771;Erro;Erro;
172.23.72.224;2022-12-16 09:52:25.508136;Erro;Erro;
172.23.72.224;2022-12-16 09:53:16.255264;Erro;Erro;
172.23.72.224;2022-12-16 09:53:22.019184;Erro;Erro;
172.23.72.224;2022-12-16 09:53:44.603869;Erro;Erro;
172.23.72.224;2022-12-16 09:54:20.920386;Erro;Erro;
172.23.72.224;2022-12-16 09:56:56.110946;Erro;Erro;
172.23.72.224;2022-12-16 09:56:59.814238;Erro;Erro;
172.23.72.224;2022-12-16 09:56:59.946144;Erro;Erro;
172.23.72.224;2022-12-16 09:57:03.259967;-20.482737469;-43.916663645
172.23.72.224;2022-12-16 09:57:10.162341;-20.482739490;-43.916666314
172.23.72.224;2022-12-16 09:57:21.144436;Erro;Erro;
172.23.72.224;2022-12-16 09:57:40.385719;-20.482742038;-43.916666181
172.23.72.224;2022-12-16 10:00:21.372137;Erro;Erro;
172.23.72.224;2022-12-16 10:00:52.088156;Erro;Erro;
172.23.72.224;2022-12-16 10:01:20.776100;Erro;Erro;
172.23.72.224;2022-12-16 10:01:51.492122;Erro;Erro;
172.23.72.224;2022-12-16 10:02:22.217553;Erro;Erro;
172.23.72.224;2022-12-16 10:02:52.920144;Erro;Erro;
172.23.72.224;2022-12-16 10:03:21.592195;Erro;Erro;
172.23.72.224;2022-12-16 10:03:52.316107;Erro;Erro;
172.23.72.224;2022-12-16 10:04:23.032221;Erro;Erro;
172.23.72.224;2022-12-16 10:04:53.768198;Erro;Erro;
172.23.72.224;2022-12-16 10:05:24.472105;Erro;Erro;
172.23.72.224;2022-12-16 10:05:53.144113;Erro;Erro;
172.23.72.224;2022-12-16 10:06:23.864096;Erro;Erro;
172.23.72.224;2022-12-16 10:06:54.592122;Erro;Erro;
172.23.72.224;2022-12-16 10:07:25.320169;Erro;Erro;
172.23.72.224;2022-12-16 10:07:53.988079;Erro;Erro;
172.23.72.224;2022-12-16 10:08:24.696123;Erro;Erro;
172.23.72.224;2022-12-16 10:08:55.416115;Erro;Erro;
172.23.72.224;2022-12-16 10:09:26.136121;Erro;Erro;
172.23.72.224;2022-12-16 10:09:54.808211;Erro;Erro;
172.23.72.224;2022-12-16 10:10:25.540124;Erro;Erro;
172.23.72.224;2022-12-16 10:10:56.248124;Erro;Erro;
172.23.72.224;2022-12-16 10:11:17.443339;-20.482749827;-43.916559996
172.23.72.224;2022-12-16 10:11:18.539653;-20.482750273;-43.916559677
172.23.72.224;2022-12-16 10:11:20.843514;-20.482751192;-43.916559017
172.23.72.224;2022-12-16 10:11:26.972308;Erro;Erro;
172.23.72.224;2022-12-16 10:11:47.536092;-20.482739075;-43.916729323
172.23.72.224;2022-12-16 10:11:57.688185;Erro;Erro;
172.23.72.224;2022-12-16 10:12:17.850902;-20.482825012;-43.916761243
172.23.72.224;2022-12-16 10:12:48.133360;-20.482824461;-43.916752604
172.23.72.224;2022-12-16 10:13:18.453262;-20.482807796;-43.916745025
172.23.72.224;2022-12-16 10:13:48.685510;-20.482798399;-43.916741426
172.23.72.224;2022-12-16 10:14:18.891364;-20.482793987;-43.916737984
172.23.72.224;2022-12-16 10:14:49.174534;-20.482790594;-43.916733584
172.23.72.224;2022-12-16 10:15:19.502399;-20.482788514;-43.916729534
172.23.72.224;2022-12-16 10:15:49.706869;-20.482787701;-43.916726314
172.23.72.224;2022-12-16 10:16:19.948840;-20.482787105;-43.916723420
172.23.72.224;2022-12-16 10:16:50.190873;-20.482786543;-43.916719774
172.23.72.224;2022-12-16 10:17:20.449234;-20.482786606;-43.916718228
172.23.72.224;2022-12-16 10:17:50.752431;-20.482816757;-43.916701950
172.23.72.224;2022-12-16 10:18:20.842947;-20.482800681;-43.916700022
172.23.72.224;2022-12-16 10:21:00.408158;Erro;Erro;
172.23.72.224;2022-12-16 10:21:31.128079;Erro;Erro;
172.23.72.224;2022-12-16 10:22:01.848094;Erro;Erro;
172.23.72.224;2022-12-16 10:22:32.568205;Erro;Erro;
172.23.72.224;2022-12-16 10:23:03.288159;Erro;Erro;
172.23.72.224;2022-12-16 10:23:31.960149;Erro;Erro;
172.23.72.224;2022-12-16 10:24:02.688166;Erro;Erro;
172.23.72.224;2022-12-16 10:24:33.400102;Erro;Erro;
172.23.72.224;2022-12-16 10:25:04.132111;Erro;Erro;
172.23.72.224;2022-12-16 10:25:32.792172;Erro;Erro;
172.23.72.224;2022-12-16 10:26:03.512169;Erro;Erro;
172.23.72.224;2022-12-16 10:26:10.188901;-20.482927599;-43.916783512
172.23.72.224;2022-12-16 10:26:24.995362;-20.482925829;-43.916793082
172.23.72.224;2022-12-16 10:26:28.112177;-20.482925854;-43.916802697
172.23.72.224;2022-12-16 10:26:34.248194;Erro;Erro;
172.23.72.224;2022-12-16 10:26:55.257242;-20.482924572;-43.916799305
