2023-11-22 10:00:01.795 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;172.23.67.107BreadCrumb session status = {};Logging in...
2023-11-22 10:00:06.749 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan0;172.23.66.241;;ADD;true;4040;29;-79;0;;87291;172.23.66.241;23;fe80::6f0:21ff:fe8e:9457%wlan0wds
2023-11-22 10:00:06.753 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan0;172.23.67.165;;ADD;true;843;55;-53;0;;72121;172.23.67.165;3;fe80::6f0:21ff:fe59:d79f%wlan0wds
2023-11-22 10:00:06.779 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan0;172.23.66.11;;ADD;true;2255;27;-81;0;;86039;172.23.66.11;21;fe80::6f0:21ff:fe8e:9680%wlan0wds
2023-11-22 10:00:07.269 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan0;172.23.67.115;;ADD;true;45411;15;-93;0;;42825;172.23.67.115;23;fe80::6f0:21ff:fe31:de2b%wlan0wds
2023-11-22 10:00:07.285 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan1;172.23.66.33;;ADD;false;45714;7;-90;0;;77447;172.23.66.33;19;fe80::868d:84ff:fefe:4cd7%wlan1wds
2023-11-22 10:00:07.528 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan1;172.23.66.241;;ADD;true;1170;33;-64;0;;87291;172.23.66.241;19;fe80::868d:84ff:fefe:45c3%wlan1wds
2023-11-22 10:00:07.553 [Thread-107] INFO  c.r.b.p.PeersRssiAppPeriodico$GetRSSIPeers - ;;29;ME4;31339.64;26625.756;true;true;11.24.2;182304;false;false;;172.23.67.107;172.23.66.1;0.0.0.0;fe80::d0:12ff:fe31:f6f3;79390;false;false;gw2388;false;2543;00:d0:12:31:f6:f3 00:d0:12:31:f6:f4 04:f0:21:8e:9c:57 04:f0:21:8e:a3:b6;30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:33:20:30:30:3A:64:30:3A:31:32:3A:33:31:3A:66:36:3A:66:34:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:39:63:3A:35:37:20:30:34:3A:66:30:3A:32:31:3A:38:65:3A:61:33:3A:62:36;1700657964;tap0;;;172.23.67.107;wlan1;172.23.66.11;;ADD;true;1785;27;-70;0;;86039;172.23.66.11;16;fe80::868d:84ff:fefe:d0ba%wlan1wds
2023-11-22 10:00:07.585 [SyncBreadCrumbSession[session,124 BCAPI] MessageReceiver] INFO  c.r.b.s.sync.SyncBreadCrumbSession - Session[session,124 BCAPI] Stopping receiver due to [Socket closed] 
2023-11-22 10:00:07.586 [SyncBreadCrumbSession[session,115 BCAPI] MessageReceiver] INFO  c.r.b.s.sync.SyncBreadCrumbSession - Session[session,115 BCAPI] Stopping receiver due to [Socket closed] 
2023-11-22 10:00:07.586 [SyncBreadCrumbSession[session,118 BCAPI] MessageReceiver] INFO  c.r.b.s.sync.SyncBreadCrumbSession - Session[session,118 BCAPI] Stopping receiver due to [Socket closed] 
