172.23.72.194;2022-12-15 10:26:02.505990;0.000000000;0.000000000
172.23.72.194;2022-12-16 09:42:03.640272;Erro;Erro;
172.23.72.194;2022-12-16 09:42:41.921761;Erro;Erro;
172.23.72.194;2022-12-16 09:43:13.622903;Erro;Erro;
172.23.72.194;2022-12-16 09:43:33.753847;Erro;Erro;
172.23.72.194;2022-12-16 09:44:04.483762;Erro;Erro;
172.23.72.194;2022-12-16 09:44:41.385469;Erro;Erro;
172.23.72.194;2022-12-16 09:45:28.647777;Erro;Erro;
172.23.72.194;2022-12-16 09:46:04.702636;Erro;Erro;
172.23.72.194;2022-12-16 09:46:34.033824;Erro;Erro;
172.23.72.194;2022-12-16 09:47:41.560797;Erro;Erro;
172.23.72.194;2022-12-16 09:48:38.097133;Erro;Erro;
172.23.72.194;2022-12-16 09:52:14.054940;Erro;Erro;
172.23.72.194;2022-12-16 09:52:24.899569;Erro;Erro;
172.23.72.194;2022-12-16 09:52:24.932450;Erro;Erro;
172.23.72.194;2022-12-16 09:52:26.029444;Erro;Erro;
172.23.72.194;2022-12-16 09:52:27.386231;Erro;Erro;
172.23.72.194;2022-12-16 09:53:17.242263;Erro;Erro;
172.23.72.194;2022-12-16 09:53:30.705952;Erro;Erro;
172.23.72.194;2022-12-16 09:53:44.678600;Erro;Erro;
172.23.72.194;2022-12-16 09:56:57.098862;Erro;Erro;
172.23.72.194;2022-12-16 09:57:00.488241;Erro;Erro;
172.23.72.194;2022-12-16 09:57:02.151876;Erro;Erro;
172.23.72.194;2022-12-16 09:57:03.299991;Erro;Erro;
172.23.72.194;2022-12-16 09:57:17.048391;Erro;Erro;
172.23.72.194;2022-12-16 09:59:13.788209;Erro;Erro;
172.23.72.194;2022-12-16 09:59:19.940152;Erro;Erro;
172.23.72.194;2022-12-16 09:59:50.652267;Erro;Erro;
172.23.72.194;2022-12-16 10:00:21.380088;Erro;Erro;
172.23.72.194;2022-12-16 10:00:52.088165;Erro;Erro;
172.23.72.194;2022-12-16 10:01:20.764113;Erro;Erro;
172.23.72.194;2022-12-16 10:01:51.496096;Erro;Erro;
172.23.72.194;2022-12-16 10:02:22.200167;Erro;Erro;
172.23.72.194;2022-12-16 10:02:52.928114;Erro;Erro;
172.23.72.194;2022-12-16 10:03:21.592198;Erro;Erro;
172.23.72.194;2022-12-16 10:03:52.328096;Erro;Erro;
172.23.72.194;2022-12-16 10:04:23.032171;Erro;Erro;
172.23.72.194;2022-12-16 10:04:53.764193;Erro;Erro;
172.23.72.194;2022-12-16 10:05:24.484048;Erro;Erro;
172.23.72.194;2022-12-16 10:05:53.144105;Erro;Erro;
172.23.72.194;2022-12-16 10:06:23.872103;Erro;Erro;
172.23.72.194;2022-12-16 10:06:54.600068;Erro;Erro;
172.23.72.194;2022-12-16 10:07:25.304174;Erro;Erro;
172.23.72.194;2022-12-16 10:07:53.980134;Erro;Erro;
172.23.72.194;2022-12-16 10:08:24.700152;Erro;Erro;
172.23.72.194;2022-12-16 10:08:55.420146;Erro;Erro;
172.23.72.194;2022-12-16 10:09:26.152093;Erro;Erro;
172.23.72.194;2022-12-16 10:09:54.816136;Erro;Erro;
172.23.72.194;2022-12-16 10:10:25.536173;Erro;Erro;
172.23.72.194;2022-12-16 10:10:56.264111;Erro;Erro;
172.23.72.194;2022-12-16 10:11:26.968084;Erro;Erro;
172.23.72.194;2022-12-16 10:11:55.640139;Erro;Erro;
172.23.72.194;2022-12-16 10:12:26.372127;Erro;Erro;
172.23.72.194;2022-12-16 10:12:57.088169;Erro;Erro;
172.23.72.194;2022-12-16 10:13:27.812122;Erro;Erro;
172.23.72.194;2022-12-16 10:13:58.520156;Erro;Erro;
172.23.72.194;2022-12-16 10:14:27.208110;Erro;Erro;
172.23.72.194;2022-12-16 10:14:57.920139;Erro;Erro;
172.23.72.194;2022-12-16 10:15:28.644173;Erro;Erro;
172.23.72.194;2022-12-16 10:15:59.352125;Erro;Erro;
172.23.72.194;2022-12-16 10:16:28.024098;Erro;Erro;
172.23.72.194;2022-12-16 10:16:58.744183;Erro;Erro;
172.23.72.194;2022-12-16 10:17:29.476087;Erro;Erro;
172.23.72.194;2022-12-16 10:18:00.196105;Erro;Erro;
172.23.72.194;2022-12-16 10:18:30.916112;Erro;Erro;
172.23.72.194;2022-12-16 10:18:59.588101;Erro;Erro;
172.23.72.194;2022-12-16 10:19:30.300213;Erro;Erro;
172.23.72.194;2022-12-16 10:20:01.024150;Erro;Erro;
172.23.72.194;2022-12-16 10:20:31.740150;Erro;Erro;
172.23.72.194;2022-12-16 10:21:00.423087;Erro;Erro;
172.23.72.194;2022-12-16 10:21:31.140137;Erro;Erro;
172.23.72.194;2022-12-16 10:22:01.860534;Erro;Erro;
172.23.72.194;2022-12-16 10:22:32.568205;Erro;Erro;
172.23.72.194;2022-12-16 10:23:03.288159;Erro;Erro;
172.23.72.194;2022-12-16 10:23:31.968114;Erro;Erro;
172.23.72.194;2022-12-16 10:24:02.696116;Erro;Erro;
172.23.72.194;2022-12-16 10:24:33.408094;Erro;Erro;
172.23.72.194;2022-12-16 10:25:04.136016;Erro;Erro;
172.23.72.194;2022-12-16 10:25:32.796086;Erro;Erro;
172.23.72.194;2022-12-16 10:26:03.512166;Erro;Erro;
172.23.72.194;2022-12-16 10:26:34.240271;Erro;Erro;
172.23.72.194;2022-12-16 10:27:04.968121;Erro;Erro;
172.23.72.194;2022-12-16 10:27:33.624114;Erro;Erro;
172.23.72.194;2022-12-16 10:28:04.361268;Erro;Erro;
172.23.72.194;2022-12-16 10:28:35.076094;Erro;Erro;
172.23.72.194;2022-12-16 10:29:05.800190;Erro;Erro;
172.23.72.194;2022-12-16 10:29:36.504103;Erro;Erro;
172.23.72.194;2022-12-16 10:30:05.176112;Erro;Erro;
172.23.72.194;2022-12-16 10:30:35.908090;Erro;Erro;
172.23.72.194;2022-12-16 10:31:06.616151;Erro;Erro;
172.23.72.194;2022-12-16 10:31:37.336123;Erro;Erro;
172.23.72.194;2022-12-16 10:32:06.020152;Erro;Erro;
172.23.72.194;2022-12-16 10:32:36.728123;Erro;Erro;
172.23.72.194;2022-12-16 10:33:07.452134;Erro;Erro;
172.23.72.194;2022-12-16 10:33:38.184160;Erro;Erro;
172.23.72.194;2022-12-16 10:34:06.856836;Erro;Erro;
172.23.72.194;2022-12-16 10:34:37.568153;Erro;Erro;
172.23.72.194;2022-12-16 10:35:08.296130;Erro;Erro;
172.23.72.194;2022-12-16 10:35:39.004273;Erro;Erro;
172.23.72.194;2022-12-16 10:36:09.720147;Erro;Erro;
172.23.72.194;2022-12-16 10:36:38.404135;Erro;Erro;
172.23.72.194;2022-12-16 10:37:09.120095;Erro;Erro;
172.23.72.194;2022-12-16 10:37:39.832148;Erro;Erro;
172.23.72.194;2022-12-16 10:38:10.568088;Erro;Erro;
172.23.72.194;2022-12-16 10:38:39.232146;Erro;Erro;
172.23.72.194;2022-12-16 10:39:09.952093;Erro;Erro;
172.23.72.194;2022-12-16 10:39:40.672087;Erro;Erro;
172.23.72.194;2022-12-16 10:40:11.400134;Erro;Erro;
172.23.72.194;2022-12-16 10:40:40.060193;Erro;Erro;
172.23.72.194;2022-12-16 10:41:10.776203;Erro;Erro;
172.23.72.194;2022-12-16 10:41:41.504104;Erro;Erro;
172.23.72.194;2022-12-16 10:42:12.235860;Erro;Erro;
172.23.72.194;2022-12-16 10:42:42.936138;Erro;Erro;
172.23.72.194;2022-12-16 10:43:11.620083;Erro;Erro;
172.23.72.194;2022-12-16 10:43:42.340059;Erro;Erro;
172.23.72.194;2022-12-16 10:44:13.048145;Erro;Erro;
172.23.72.194;2022-12-16 10:44:43.768205;Erro;Erro;
172.23.72.194;2022-12-16 10:45:12.444153;Erro;Erro;
